2026-03-24 07:06:34,946 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1

                                                       █████                █████
                                                      ░░███                ░░███
     ████████    ██████   ████████    ██████   ██████  ░███████    ██████  ███████
    ░░███░░███  ░░░░░███ ░░███░░███  ███░░███ ███░░███ ░███░░███  ░░░░░███░░░███░
     ░███ ░███   ███████  ░███ ░███ ░███ ░███░███ ░░░  ░███ ░███   ███████  ░███
     ░███ ░███  ███░░███  ░███ ░███ ░███ ░███░███  ███ ░███ ░███  ███░░███  ░███ ███
     ████ █████░░████████ ████ █████░░██████ ░░██████  ████ █████░░███████  ░░█████
    ░░░░ ░░░░░  ░░░░░░░░ ░░░░ ░░░░░  ░░░░░░   ░░░░░░  ░░░░ ░░░░░  ░░░░░░░░   ░░░░░
    
Autodetected device type: cuda
GPU: NVIDIA H200 | Peak FLOPS (BF16): 9.89e+14
COMPUTE_DTYPE: torch.bfloat16 (auto-detected: CUDA SM 90 (bf16 supported))
✓ Using Flash Attention 3 (Hopper GPU detected), efficient, new and awesome.
Vocab size: 32,768
Model config:
{
  "sequence_len": 2048,
  "vocab_size": 32768,
  "n_layer": 12,
  "n_head": 6,
  "n_kv_head": 6,
  "n_embd": 768,
  "window_pattern": "SSSL",
  "xsa_start_layer": 8
}
Parameter counts:
wte                     : 25,165,824
value_embeds            : 150,994,944
lm_head                 : 25,165,824
transformer_matrices    : 84,935,088
scalars                 : 50
total                   : 286,261,730
Estimated FLOPs per token: 7.596959e+08
Auto-computed optimal batch size: 524,288 tokens
Scaling the LR for the AdamW parameters ∝1/√(768/768) = 1.000000
Calculated number of iterations from target data:param ratio: 2,205
Total number of training tokens: 1,156,055,040
Tokens : Scaling params ratio: 10.50
Total training FLOPs estimate: 8.782503e+17
Tokens / micro-batch / rank: 32 x 2048 = 65,536
Tokens / micro-batch: 65,536
Total batch size 524,288 => gradient accumulation steps: 8
Step 00000 | Validation bpb: 3.169808
step 00000/02205 (0.00%) | loss: 10.397476 | lrm: 0.03 | dt: 26761.01ms | tok/sec: 19,591 | bf16_mfu: 1.50 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00001/02205 (0.05%) | loss: 10.385089 | lrm: 0.05 | dt: 903.55ms | tok/sec: 580,251 | bf16_mfu: 44.57 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00002/02205 (0.09%) | loss: 10.363052 | lrm: 0.07 | dt: 929.40ms | tok/sec: 564,117 | bf16_mfu: 43.33 | epoch: 1 pq: 0 rg: 3 | total time: 0.00m
step 00003/02205 (0.14%) | loss: 10.328900 | lrm: 0.10 | dt: 929.53ms | tok/sec: 564,036 | bf16_mfu: 43.33 | epoch: 1 pq: 0 rg: 4 | total time: 0.00m
step 00004/02205 (0.18%) | loss: 10.280503 | lrm: 0.12 | dt: 934.10ms | tok/sec: 561,275 | bf16_mfu: 43.11 | epoch: 1 pq: 0 rg: 5 | total time: 0.00m
step 00005/02205 (0.23%) | loss: 10.207453 | lrm: 0.15 | dt: 930.04ms | tok/sec: 563,726 | bf16_mfu: 43.30 | epoch: 1 pq: 0 rg: 6 | total time: 0.00m
step 00006/02205 (0.27%) | loss: 10.107200 | lrm: 0.17 | dt: 937.66ms | tok/sec: 559,143 | bf16_mfu: 42.95 | epoch: 1 pq: 0 rg: 7 | total time: 0.00m
step 00007/02205 (0.32%) | loss: 9.961302 | lrm: 0.20 | dt: 927.61ms | tok/sec: 565,203 | bf16_mfu: 43.42 | epoch: 1 pq: 0 rg: 8 | total time: 0.00m
step 00008/02205 (0.36%) | loss: 9.748365 | lrm: 0.23 | dt: 932.07ms | tok/sec: 562,500 | bf16_mfu: 43.21 | epoch: 1 pq: 0 rg: 10 | total time: 0.00m
step 00009/02205 (0.41%) | loss: 9.476142 | lrm: 0.25 | dt: 932.15ms | tok/sec: 562,451 | bf16_mfu: 43.20 | epoch: 1 pq: 0 rg: 11 | total time: 0.00m
step 00010/02205 (0.45%) | loss: 9.179614 | lrm: 0.28 | dt: 929.58ms | tok/sec: 564,007 | bf16_mfu: 43.32 | epoch: 1 pq: 0 rg: 12 | total time: 0.00m
step 00011/02205 (0.50%) | loss: 8.889157 | lrm: 0.30 | dt: 932.59ms | tok/sec: 562,182 | bf16_mfu: 43.18 | epoch: 1 pq: 0 rg: 13 | total time: 0.02m | eta: 34.1m
step 00012/02205 (0.54%) | loss: 8.625185 | lrm: 0.33 | dt: 930.71ms | tok/sec: 563,323 | bf16_mfu: 43.27 | epoch: 1 pq: 0 rg: 14 | total time: 0.03m | eta: 34.1m
step 00013/02205 (0.59%) | loss: 8.385689 | lrm: 0.35 | dt: 936.13ms | tok/sec: 560,056 | bf16_mfu: 43.02 | epoch: 1 pq: 0 rg: 15 | total time: 0.05m | eta: 34.1m
step 00014/02205 (0.63%) | loss: 8.180648 | lrm: 0.38 | dt: 936.44ms | tok/sec: 559,876 | bf16_mfu: 43.01 | epoch: 1 pq: 0 rg: 16 | total time: 0.06m | eta: 34.1m
step 00015/02205 (0.68%) | loss: 7.978354 | lrm: 0.40 | dt: 933.13ms | tok/sec: 561,861 | bf16_mfu: 43.16 | epoch: 1 pq: 0 rg: 17 | total time: 0.08m | eta: 34.1m
step 00016/02205 (0.73%) | loss: 7.784360 | lrm: 0.42 | dt: 932.83ms | tok/sec: 562,037 | bf16_mfu: 43.17 | epoch: 1 pq: 0 rg: 18 | total time: 0.09m | eta: 34.1m
step 00017/02205 (0.77%) | loss: 7.619266 | lrm: 0.45 | dt: 934.28ms | tok/sec: 561,167 | bf16_mfu: 43.11 | epoch: 1 pq: 0 rg: 19 | total time: 0.11m | eta: 34.1m
step 00018/02205 (0.82%) | loss: 7.466319 | lrm: 0.47 | dt: 931.16ms | tok/sec: 563,046 | bf16_mfu: 43.25 | epoch: 1 pq: 0 rg: 20 | total time: 0.12m | eta: 34.0m
step 00019/02205 (0.86%) | loss: 7.330604 | lrm: 0.50 | dt: 935.30ms | tok/sec: 560,555 | bf16_mfu: 43.06 | epoch: 1 pq: 0 rg: 21 | total time: 0.14m | eta: 34.0m
step 00020/02205 (0.91%) | loss: 7.202661 | lrm: 0.53 | dt: 937.61ms | tok/sec: 559,175 | bf16_mfu: 42.95 | epoch: 1 pq: 0 rg: 22 | total time: 0.16m | eta: 34.0m
step 00021/02205 (0.95%) | loss: 7.079084 | lrm: 0.55 | dt: 938.05ms | tok/sec: 558,911 | bf16_mfu: 42.93 | epoch: 1 pq: 0 rg: 23 | total time: 0.17m | eta: 34.0m
step 00022/02205 (1.00%) | loss: 6.973130 | lrm: 0.57 | dt: 936.34ms | tok/sec: 559,931 | bf16_mfu: 43.01 | epoch: 1 pq: 0 rg: 24 | total time: 0.19m | eta: 34.0m
step 00023/02205 (1.04%) | loss: 6.868960 | lrm: 0.60 | dt: 931.73ms | tok/sec: 562,702 | bf16_mfu: 43.22 | epoch: 1 pq: 0 rg: 26 | total time: 0.20m | eta: 34.0m
step 00024/02205 (1.09%) | loss: 6.771259 | lrm: 0.62 | dt: 933.65ms | tok/sec: 561,545 | bf16_mfu: 43.13 | epoch: 1 pq: 0 rg: 27 | total time: 0.22m | eta: 34.0m
step 00025/02205 (1.13%) | loss: 6.685588 | lrm: 0.65 | dt: 937.85ms | tok/sec: 559,029 | bf16_mfu: 42.94 | epoch: 1 pq: 0 rg: 28 | total time: 0.23m | eta: 34.0m
step 00026/02205 (1.18%) | loss: 6.605832 | lrm: 0.68 | dt: 933.23ms | tok/sec: 561,796 | bf16_mfu: 43.15 | epoch: 1 pq: 0 rg: 29 | total time: 0.25m | eta: 33.9m
step 00027/02205 (1.22%) | loss: 6.529038 | lrm: 0.70 | dt: 934.94ms | tok/sec: 560,771 | bf16_mfu: 43.08 | epoch: 1 pq: 0 rg: 30 | total time: 0.26m | eta: 33.9m
step 00028/02205 (1.27%) | loss: 6.461483 | lrm: 0.72 | dt: 935.10ms | tok/sec: 560,674 | bf16_mfu: 43.07 | epoch: 1 pq: 0 rg: 31 | total time: 0.28m | eta: 33.9m
step 00029/02205 (1.32%) | loss: 6.408622 | lrm: 0.75 | dt: 937.18ms | tok/sec: 559,433 | bf16_mfu: 42.97 | epoch: 1 pq: 0 rg: 32 | total time: 0.30m | eta: 33.9m
